date,stock_id,name,decision,confidence,C_days,B_days,A_days,flow_status,cost_level,signal_type,adx,atr,vwap,kd_k,kd_d,bb_upper,bb_middle,bb_lower,B_quality,B_window_20,B_validity,B_phase,foreign_position,foreign_level,volume_ratio,foreign_cost,foreign_profit_pct,foreign_consecutive_buy,margin_change_5d,return_10d,bias_ma20,margin_consecutive_increase,margin_change_pct
2026-07-06,6284,佳邦,IGNORE,0,,,,NEUTRAL,SAFE,,18.23,6.3123,107.7991,75.85,55.35,109.8747,101.055,92.2353,0,0,UNCERTAIN,PREPARE,12392.0,MEDIUM,0.6899215804316303,105.31,-0.3,,306.0,-2.3255813953488413,0.039038147543416946,,
2026-07-06,6285,啟碁,IGNORE,0,7.0,,,,SAFE,,15.36,16.2043,256.5709,70.97,48.14,287.8412,262.275,236.7088,0,0,UNCERTAIN,PREPARE,112135.0,HEAVY,0.5409511366095097,271.25,-4.7,,,-3.5447761194029814,-0.014393289486226202,,
2026-07-06,5498,凱崴,IGNORE,0,,,,NEUTRAL,SAFE,,31.44,3.8896,66.595,25.77,21.49,70.3883,62.445,54.5017,0,0,UNCERTAIN,PREPARE,6515.0,LIGHT,0.3672155805948191,67.25,-9.0,,77.0,-7.831325301204828,-0.019937545039634963,,
2026-07-06,6290,良維,IGNORE,0,,,,NEUTRAL,SAFE,,22.65,16.9444,317.8309,71.01,48.24,352.6247,311.575,270.5253,0,0,UNCERTAIN,PREPARE,26457.0,MEDIUM,2.1836198052782314,314.32,2.76,,-730.0,6.25,0.03666853887507027,,
2026-07-06,6291,沛亨,IGNORE,0,,,,NEUTRAL,NEUTRAL,,10.84,48.3143,587.1149,23.78,45.0,622.5248,553.5,484.4752,0,0,UNCERTAIN,PREPARE,988.0,LIGHT,0.4404214215661511,588.0,-11.9,,283.0,0.5825242718446644,-0.06413730803974704,,
2026-07-06,6282,康舒,IGNORE,0,,,,,SAFE,,23.78,3.8769,57.3695,51.43,40.59,63.6466,58.715,53.7834,0,0,UNCERTAIN,PREPARE,132070.0,HEAVY,0.8854092625782567,60.41,-1.0,,,-6.416275430359941,0.01847909392829772,,
2026-07-06,5522,遠雄,IGNORE,0,3.0,,,,NEUTRAL,,37.13,2.5422,72.4541,6.75,5.41,84.2044,71.46,58.7156,0,0,UNCERTAIN,PREPARE,33813.0,MEDIUM,0.3272978919313576,64.28,0.81,,,-12.195121951219512,-0.09319899244332508,,
2026-07-06,6278,台表科,IGNORE,0,,,,,SAFE,,17.55,13.5274,194.1537,65.13,63.11,220.3272,203.7,187.0728,0,0,UNCERTAIN,PREPARE,52579.0,HEAVY,1.009533387329173,201.06,0.72,,,-1.6990291262135915,-0.00589101620029453,,
2026-07-06,6415,矽力*-KY,IGNORE,0,,,,,NEUTRAL,,22.52,44.201,485.3859,57.97,48.0,687.6902,578.975,470.2598,0,0,UNCERTAIN,PREPARE,310272.0,HEAVY,0.38363074729133445,471.59,31.47,,,-7.875185735512636,0.07085798177814229,,
2026-07-06,5469,瀚宇博,IGNORE,0,,,,,SAFE,,14.91,3.9836,87.7211,54.17,52.72,91.8502,85.97,80.0898,0,0,FAKE_B,PREPARE,45488.0,MEDIUM,0.8646019693831702,,,,,-2.8697571743929284,0.02361288821681984,,
2026-07-06,5457,宣德,IGNORE,0,,,,NEUTRAL,SAFE,,44.93,1.5981,35.2068,31.21,27.3,39.2758,34.0225,28.7692,0,0,UNCERTAIN,PREPARE,53687.0,HEAVY,0.32695279879211137,34.85,0.0,,-93.0,-5.170068027210883,0.02432213976045272,,
2026-07-06,5452,佶優,IGNORE,0,,,,NEUTRAL,SAFE,,13.44,1.9651,34.641,55.32,51.91,36.821,33.4,29.979,0,0,UNCERTAIN,PREPARE,18607.0,MEDIUM,0.6523199194781576,35.9,-5.99,,134.0,1.3513513513513598,0.010479041916167775,,
2026-07-06,6414,樺漢,IGNORE,0,,,,,SAFE,,18.62,14.504,346.987,71.69,50.8,397.0616,376.55,356.0384,0,0,UNCERTAIN,PREPARE,60474.0,HEAVY,0.7162155609226166,345.92,11.01,,,0.7874015748031482,0.019784889124950134,,
2026-07-06,6405,悅城,IGNORE,0,,,,,NEUTRAL,,15.92,5.9288,57.982,20.99,22.59,75.1705,65.525,55.8795,0,0,UNCERTAIN,PREPARE,1939.0,LIGHT,0.5614615257501799,60.61,1.3,,,-10.364963503649637,-0.06295307134681427,,
2026-07-06,5483,中美晶,IGNORE,0,,,,DISTRIBUTION,HIGH_RISK,,31.01,13.1766,175.2482,86.94,73.58,211.8015,171.325,130.8485,0,0,UNCERTAIN,PREPARE,167444.0,HEAVY,2.179750166981047,180.08,16.34,,1659.0,14.794520547945211,0.22282212169852622,,
2026-07-06,6407,相互,IGNORE,0,4.0,,,,SAFE,,15.69,1.957,38.5338,49.8,34.35,31.5737,30.1475,28.7213,0,0,UNCERTAIN,PREPARE,,NONE,1.1492196181897587,30.69,-0.94,,,-3.797468354430389,0.008375487187992192,,
2026-07-06,6412,群電,IGNORE,0,,,,,SAFE,,13.74,4.7028,92.9636,70.7,72.71,98.1884,92.785,87.3816,0,0,UNCERTAIN,PREPARE,24192.0,MEDIUM,2.0745874076473805,96.74,-4.9,,,-3.157894736842104,-0.008460419248800921,,
2026-07-06,5475,德宏,IGNORE,0,,,,NEUTRAL,NEUTRAL,,24.22,22.1017,276.9115,6.76,10.95,297.731,245.65,193.569,0,0,UNCERTAIN,PREPARE,11194.0,MEDIUM,0.4700849382269475,,,,0.0,-1.3071895424836555,-0.07795644209240793,,
2026-07-06,6244,茂迪,IGNORE,0,,,,NEUTRAL,NEUTRAL,,18.97,1.8773,30.0542,50.24,30.29,32.5744,28.46,24.3456,0,0,UNCERTAIN,PREPARE,76297.0,HEAVY,0.3411939252424693,30.24,-8.89,,283.0,-5.488850771869636,-0.0319747013352073,,
2026-07-06,6245,立端,IGNORE,0,,,,NEUTRAL,SAFE,,23.49,3.366,87.6712,61.61,34.38,88.0845,82.145,76.2055,0,0,UNCERTAIN,PREPARE,14389.0,MEDIUM,0.6167404116213021,85.37,-4.06,,-61.0,0.2447980416156792,-0.0029825308904986025,,
2026-07-06,5871,中租-KY,IGNORE,0,,,,,SAFE,,12.52,3.3504,114.7783,50.54,42.99,121.9026,116.65,111.3974,0,0,UNCERTAIN,PREPARE,742455.0,HEAVY,0.46885595345938236,116.15,-0.56,,,-2.1186440677966156,-0.009858551221603173,,
2026-07-06,6239,力成,IGNORE,0,,,,,SAFE,,22.66,26.3115,294.5719,67.61,49.83,367.9175,334.175,300.4325,0,0,UNCERTAIN,PREPARE,276924.0,HEAVY,1.176332556755526,330.01,4.39,,,-5.874316939890711,0.030896985112590647,,
2026-07-06,6231,系微,IGNORE,0,,,,NEUTRAL,SAFE,,24.57,16.4865,299.8172,18.31,28.92,315.8798,285.925,255.9702,0,0,UNCERTAIN,PREPARE,7167.0,LIGHT,0.601836358923785,293.28,-4.19,,-58.0,4.2671614100185495,-0.017224796712424606,,
2026-07-06,6234,高僑,IGNORE,0,,,,DISTRIBUTION,HIGH_RISK,,20.42,3.5309,49.7866,86.79,74.94,49.8937,45.4375,40.9813,0,0,UNCERTAIN,PREPARE,10238.0,MEDIUM,2.301170596530372,,,,321.0,15.234822451317287,0.10701513067400259,,
2026-07-06,6270,倍微,IGNORE,0,,,,NEUTRAL,SAFE,,65.62,2.9677,36.8305,43.34,69.95,42.7152,36.6575,30.5998,0,0,UNCERTAIN,PREPARE,2164.0,LIGHT,0.7065243428954072,39.06,-2.58,,48.0,8.714285714285698,0.03798676941962742,,
2026-07-06,6271,同欣電,IGNORE,0,,,,,HIGH_RISK,,22.33,22.2904,227.9962,70.74,71.94,290.7162,248.825,206.9338,0,0,UNCERTAIN,PREPARE,63078.0,HEAVY,1.7930737165814303,,,,,2.063789868667909,0.09313774741284031,,
2026-07-06,6274,台燿,IGNORE,0,,,,NEUTRAL,SAFE,,19.47,134.5984,1623.887,33.56,33.82,1826.2819,1614.5,1402.7181,0,0,UNCERTAIN,PREPARE,85914.0,HEAVY,1.2624668759378999,,,,-1326.0,-2.39520958083832,0.00960049550944575,,
2026-07-06,5536,聖暉*,IGNORE,0,,,,NEUTRAL,HIGH_RISK,,53.82,84.919,1116.6959,94.94,89.06,1448.5421,1218.25,987.9579,0,0,UNCERTAIN,PREPARE,52505.0,HEAVY,0.6709128756436282,,,,-71.0,20.58823529411764,0.17791914631643757,,
